n,K_true,separation,event_rate_target,pattern,n_reps,n_events_mean,event_rate_mean,K_sel_accuracy,K_sel_mean,K_over_rate,K_under_rate,ARI_all_mean,ARI_all_sd,ARI_conditional_n,ARI_conditional_mean,ARI_conditional_sd,beta_rmse_conditional_mean,cindex_full_mean,cindex_cv_mean,cindex_cox1_mean,cindex_gain_mean,gamma_mean,min_cluster_prop_mean,min_eff_events_mean,beta_sep_mean,converge_rate
500,1,med,0.44,signflip,20,222.3,0.445,1,1,0,0,NA,NA,0,NA,NA,NA,0.729,0.717,0.741,-0.012,0.09,1,222.35,Inf,1
500,2,high,0.25,disjoint,20,125.6,0.251,0.8,1.9,0.05,0.15,0.364,0.165,16,0.439,0.039,0.471,0.807,0.772,0.763,0.044,0.32,0.541,64.66,Inf,1
500,2,high,0.25,signflip,20,125.3,0.251,0.6,1.9,0.15,0.25,0.315,0.203,12,0.459,0.052,0.655,0.716,0.688,0.581,0.135,0.74,0.571,64.82,Inf,1
500,2,high,0.44,disjoint,20,221.1,0.442,1,2,0,0,0.45,0.043,20,0.45,0.043,0.464,0.802,0.775,0.743,0.059,0.17,0.474,102.7,0.237,1
500,2,high,0.44,signflip,20,219.8,0.44,0.8,2.1,0.15,0.05,0.447,0.139,16,0.483,0.089,0.631,0.767,0.704,0.602,0.165,0.89,0.458,94.11,Inf,1
500,2,low,0.25,disjoint,20,124.7,0.249,0.15,1.15,0,0.85,0.005,0.013,3,0.032,0.014,0.289,0.667,0.628,0.611,0.056,0.44,0.915,113.98,Inf,1
500,2,low,0.25,signflip,20,125.2,0.25,0.1,1.2,0.05,0.85,0.007,0.02,2,0.064,0.024,0.363,0.565,0.564,0.543,0.022,0.42,0.909,111.74,Inf,1
500,2,low,0.44,disjoint,20,218,0.436,0.2,1.2,0,0.8,0.006,0.014,4,0.03,0.015,0.263,0.647,0.623,0.636,0.011,0.42,0.89,194.42,Inf,1
500,2,low,0.44,signflip,20,219.7,0.439,0.25,1.35,0.05,0.7,0.009,0.018,5,0.032,0.025,0.363,0.547,0.555,0.556,-0.009,0.42,0.833,181.26,Inf,1
500,2,med,0.25,disjoint,20,128.2,0.256,0.25,1.25,0,0.75,0.048,0.087,5,0.192,0.042,0.362,0.718,0.682,0.692,0.027,0.56,0.865,111.15,Inf,1
500,2,med,0.25,signflip,20,124.2,0.248,0.3,1.5,0.1,0.6,0.07,0.097,6,0.204,0.051,0.504,0.618,0.599,0.575,0.044,0.4,0.767,93.86,Inf,1
500,2,med,0.44,disjoint,20,220.3,0.441,0.6,1.6,0,0.4,0.112,0.098,12,0.186,0.038,0.319,0.725,0.687,0.703,0.022,0.6,0.669,145.16,Inf,1
500,2,med,0.44,signflip,20,220.2,0.44,0.3,1.7,0.2,0.5,0.088,0.102,6,0.198,0.08,0.476,0.615,0.603,0.563,0.052,0.55,0.693,152.14,Inf,1
500,3,high,0.25,disjoint,20,126.7,0.253,0.4,2.2,0,0.6,0.33,0.173,8,0.429,0.052,0.49,0.76,0.71,0.692,0.068,0.56,0.5,60.7,Inf,1
500,3,high,0.25,signflip,20,129,0.258,0.2,1.95,0,0.8,0.302,0.185,4,0.407,0.099,0.661,0.768,0.732,0.698,0.071,0.22,0.568,63.66,Inf,1
500,3,high,0.44,disjoint,20,219.7,0.439,0.45,2.35,0,0.55,0.401,0.159,9,0.498,0.089,0.389,0.784,0.736,0.683,0.1,0.76,0.44,94.07,Inf,1
500,3,high,0.44,signflip,20,219.5,0.439,0.4,2.35,0,0.6,0.404,0.125,8,0.466,0.116,0.59,0.757,0.72,0.661,0.096,0.65,0.432,77.83,Inf,1
500,3,low,0.25,disjoint,20,123,0.246,0.1,1.45,0,0.9,0.025,0.036,2,0.058,0.001,0.301,0.605,0.573,0.553,0.052,0.36,0.797,97.24,Inf,1
500,3,low,0.25,signflip,20,125.2,0.25,0.05,1.3,0,0.95,0.018,0.033,1,0.049,NA,0.372,0.594,0.568,0.565,0.029,0.4,0.857,106.04,Inf,1
500,3,low,0.44,disjoint,20,221.5,0.443,0.1,1.45,0,0.9,0.029,0.041,2,0.069,0.012,0.304,0.611,0.578,0.57,0.041,0.55,0.796,175.28,Inf,1
500,3,low,0.44,signflip,20,223.7,0.447,0.05,1.25,0,0.95,0.014,0.031,1,0.056,NA,0.347,0.591,0.583,0.556,0.035,0.58,0.881,196.73,Inf,1
500,3,med,0.25,disjoint,20,130.1,0.26,0.15,1.95,0,0.85,0.199,0.107,3,0.208,0.034,0.395,0.702,0.641,0.601,0.101,0.52,0.542,69.53,Inf,1
500,3,med,0.25,signflip,20,125.4,0.251,0,1.4,0,1,0.102,0.129,0,NA,NA,NA,0.643,0.631,0.585,0.057,0.69,0.786,95.21,Inf,1
500,3,med,0.44,disjoint,20,224.1,0.448,0.05,1.75,0,0.95,0.18,0.123,1,0.194,NA,0.376,0.697,0.644,0.634,0.063,0.6,0.611,135.94,Inf,1
500,3,med,0.44,signflip,20,220.8,0.442,0.1,1.5,0,0.9,0.102,0.13,2,0.223,0.004,0.528,0.628,0.624,0.583,0.045,0.42,0.768,167.26,Inf,1
